Temperature,Specific Heat (Cv),Magnetic Susceptibility (Chi)
0.1,1.0076909325229975,1.16621310895947
0.2,2.3676063417975786,1.7493168624973499
0.30000000000000004,3.348886060659791,1.648614737045711
0.4,3.549763824411355,1.4838389594771972
0.5,3.290849297460671,1.3114027652960483
0.6,2.8595403725899526,1.1542308002077286
0.7000000000000001,2.4150892185755453,1.0211363729207323
0.8,2.021059869302683,0.9114909698810387
0.9,1.692405289789861,0.8214680191860696
1.0,1.4248910554580418,0.7470143195185811
1.1,1.2087269868694186,0.6847417726158055
1.2000000000000002,1.0338594331855218,0.6320251755100699
1.3000000000000003,0.8916475739496738,0.5868778639144263
1.4000000000000001,0.7751488025706499,0.54779974409451
1.5000000000000002,0.6789395271031228,0.5136500525348288
1.6,0.5988269150985358,0.48355164345680796
1.7000000000000002,0.5315748486533871,0.45682162928884334
1.8000000000000003,0.47467798862208954,0.4329216309146158
1.9000000000000001,0.4261859519526901,0.41142202304859554
2.0,0.3845699444152766,0.3919760365973593
2.1,0.3486226551260683,0.37430080220919515
2.2,0.3173833134257028,0.3581633122194531
2.3000000000000003,0.2900814833260041,0.34336990053531363
2.4000000000000004,0.26609472939118806,0.32975826622716053
2.5000000000000004,0.24491654754147427,0.3171913574647881
2.6,0.22613191304316885,0.3055526316332541
2.7,0.2093985072172832,0.2947423448698659
2.8000000000000003,0.19443220207098988,0.28467461992452303
2.9000000000000004,0.18099575787332722,0.27527510852436876
3.0000000000000004,0.16888996135312753,0.2664791122429541
3.1,0.15794663044285562,0.25823006022342043
3.2,0.14802305620181072,0.2504782670363258
3.3000000000000003,0.13899755871323308,0.24317991223117882
3.4000000000000004,0.130765912072752,0.23629619667218973
3.5000000000000004,0.1232384517195073,0.22979264085936912
3.6,0.1163377207791253,0.22363849805783031
3.7,0.10999654471886577,0.2178062608522669
3.8000000000000003,0.1041564482932914,0.21227124418372412
3.9000000000000004,0.0987663475376531,0.207011231354343
4.0,0.09378146394274196,0.20200617215238675
4.1,0.08916241901644775,0.1972379243381761
4.2,0.08487447601264164,0.1926900313776721
4.3,0.08088690228716042,0.18834753061606618
4.3999999999999995,0.07717243097110345,0.18419678712542226
4.5,0.07370680476905417,0.18022534929619552
4.6,0.07046838794748497,0.17642182291662942
4.7,0.06743783516863361,0.17277576103062933
4.8,0.06459780789410868,0.1692775673100387
4.9,0.061932730742753885,0.16591841104174795
5.0,0.0594285815254837,0.16269015212975252
5.1,0.05707270976296106,0.15958527475971265
5.2,0.054853679372331494,0.156596828578706
5.3,0.052761131927560205,0.1537183764135879
5.4,0.05078566748630894,0.15094394769400418
5.5,0.04891874046002047,0.14826799686567535
5.6,0.04715256840299199,0.14568536618017075
5.7,0.04548005192665441,0.1431912523323081
5.8,0.043894704219764255,0.14078117648821695
5.9,0.042390588883968905,0.13845095730817994
6.0,0.04096226498544317,0.13619668662039866
6.1,0.03960473838364885,0.13401470744627875
6.2,0.03831341853312664,0.13190159411591484
6.3,0.03708408006796395,0.12985413424516415
6.4,0.03591282857476663,0.12786931237386814
6.5,0.03479607004152499,0.12594429508910243
6.6,0.0337304835391033,0.12407641747837973
6.7,0.03271299675118082,0.12226317077598617
6.8,0.03174076401896439,0.12050219108150229
6.9,0.030811146610233715,0.11879124904338444
7.0,0.029921694959399107,0.1171282404125569
7.1,0.029070132657182068,0.11551117738152292
7.2,0.028254341996061205,0.11393818063376325
7.3,0.027472350901411476,0.11240747203631997
7.4,0.026722321098858432,0.11091736791561885
7.5,0.02600253738623422,0.10946627286288983
7.6,0.025311397894049723,0.10805267402111543
7.7,0.024647405231920088,0.10667513581036318
7.8,0.02400915843017808,0.10533229505272311
7.9,0.023395345596221414,0.10402285646194655
8.0,0.022804737214168397,0.10274558846632645
8.1,0.022236180024314236,0.10149931933642357
8.2,0.02168859142583667,0.10028293359197954
8.3,0.02116095435232106,0.09909536866479568
8.4,0.020652312575069203,0.09793561179654138
8.5,0.020161766393918847,0.09680269715240859
8.6,0.019688468679510317,0.09569570313328177
8.7,0.019231621234663963,0.09461374987066656
8.8,0.01879047144583671,0.09355599689003323
8.9,0.018364309198560157,0.09252164092950498
9.0,0.017952464033371154,0.09150991390196835
9.1,0.017554302521068595,0.09052008098971714
9.2,0.017169225838200193,0.08955143886167764
9.3,0.016796667525531498,0.0886033140041069
9.4,0.016436091413900813,0.087675061156423
9.5,0.01608698970334181,0.08676606184451911
9.6,0.015748881182679968,0.0858757230045429
9.700000000000001,0.015421309577996334,0.08500347569069482
9.8,0.015103842019419236,0.08414877386111938
9.9,0.014796067616662946,0.08331109323643472
10.0,0.014497596134595891,0.08248993022587983
